"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-01-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"34","서울특별시 용산구 원효로3가","집합","2**","원효로","일반상업","제2종근린생활","25m이상","193.52"," ","110,000","4","-","-","202301","31","","2022","-","중개거래","서울 용산구"
"35","광주광역시 서구 쌍촌동","집합","5**","화정로49번길","제1종일반주거","제1종근린생활","12m미만","76.36"," ","9,500","2","-","-","202301","31","","2006","-","직거래","-"
"36","충청북도 충주시 안림동","일반","1**","안림로","자연녹지","제2종근린생활","25m이상","290.72","268.00","38,500","","-","-","202301","31","","2003","-","중개거래","충북 충주시"
"37","세종특별자치시  대평동","집합","7**","대평1길","제2종일반주거","제2종근린생활","25m이상","30.36"," ","33,000","1","-","-","202301","31","","2017","-","중개거래","경북 경산시"
"38","경기도 양평군 옥천면 신복리","집합","1**","신촌길","계획관리","숙박","12m미만","45.00"," ","1,756","","-","-","202301","31","지분","1988","-","직거래","-"
"39","경상남도 창원시 마산회원구 합성동","일반","2**","합성옛길","일반상업","숙박","12m미만","2489.88","625.50","550,000","","-","-","202301","31","","2010","20230320","중개거래","부산 연제구"
"40","서울특별시 중구 산림동","집합","2**","을지로","일반상업","판매","25m이상","16.15"," ","10,700","","-","-","202301","31","","1972","-","직거래","-"
"41","경기도 김포시 양촌읍 양곡리","집합","1***","양곡로467번길","제3종일반주거","제1종근린생활","25m미만","35.91"," ","30,000","1","-","-","202301","31","","2010","-","직거래","-"
"42","강원특별자치도 속초시 장사동","집합","2*","미시령로2983번길","계획관리","숙박","25m미만","44.41"," ","1,450","","-","-","202301","31","지분","1989","-","직거래","-"
"43","경기도 부천시 원미구 중동","집합","1***","조마루로291번길","중심상업","제2종근린생활","25m이상","46.44"," ","32,000","1","-","-","202301","31","","2002","-","중개거래","경기 부천시"
"44","전북특별자치도 전주시 완산구 풍남동1가","일반","6*","경기전길","제2종일반주거","제2종근린생활","12m미만","416.53","263.40","58,700","","-","-","202301","31","","1980","-","중개거래","전북 전주완산구"
"45","충청북도 제천시 장락동","일반","6**","죽하로11안길","제2종일반주거","기타","12m미만","238.01","203.00","51,000","","-","-","202301","31","","2013","-","중개거래","충북 제천시"
"46","전북특별자치도 전주시 완산구 전동3가","일반","8*","","일반상업","제1종근린생활","8m미만","53.80","33.10","6,710","","-","-","202301","31","","1982","-","직거래","-"
"47","서울특별시 종로구 충신동","일반","1**","율곡로22나길","일반상업","제2종근린생활","8m미만","157.76","65.20","78,500","","-","-","202301","31","","1996","-","중개거래","서울 종로구"
"48","경기도 성남시 중원구 성남동","일반","4***","둔촌대로101번길","일반상업","숙박","12m미만","1177.77","251.70","615,000","","-","-","202301","31","","1996","-","중개거래","경기 성남분당구"
"49","전라남도 목포시 산정동","집합","1***","청호로","준공업","제2종근린생활","25m미만","33.86"," ","5,000","3","-","-","202301","31","","2003","-","직거래","-"
"50","전북특별자치도 전주시 완산구 고사동","집합","3**","전주객사3길","일반상업","제1종근린생활","8m미만","14.78"," ","1,500","1","-","-","202301","31","","1991","-","중개거래","전북 전주완산구"
"51","강원특별자치도 속초시 중앙동","집합","4**","중앙로147번길","일반상업","제1종근린생활","8m미만","13.95"," ","3,000","","-","-","202301","31","","1990","-","중개거래","강원 속초시"
"52","전북특별자치도 전주시 완산구 중화산동2가","집합","7**","화산천변로","제3종일반주거","제2종근린생활","25m미만","23.10"," ","2,900","3","-","-","202301","31","","2003","-","중개거래","전북 전주완산구"
"53","전라남도 목포시 산정동","집합","1***","청호로","준공업","제2종근린생활","25m미만","35.18"," ","5,000","3","-","-","202301","31","","2003","-","직거래","-"
"54","경기도 부천시 소사구 범박동","집합","1**","범안로","제3종일반주거","제1종근린생활","25m이상","150.02"," ","40,000","","-","-","202301","31","","","-","중개거래","경기 부천시 오정구"
"55","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","32.55"," ","17,725","4","-","-","202301","31","","2021","-","직거래","-"
"56","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","27.91"," ","14,500","4","-","-","202301","31","","2021","20230221","직거래","-"
"57","강원특별자치도 속초시 영랑동","집합","1**","영랑해안8길","일반상업","숙박","8m미만","22.92"," ","12,150","9","-","-","202301","31","","2021","-","직거래","-"
"58","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","39.24"," ","21,000","4","-","-","202301","31","","2021","20230224","직거래","-"
"59","강원특별자치도 속초시 영랑동","집합","1**","영랑해안8길","일반상업","숙박","8m미만","22.92"," ","12,150","10","-","-","202301","31","","2021","-","직거래","-"
"60","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","32.55"," ","18,000","2","-","-","202301","31","","2021","20230221","직거래","-"
"61","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","32.55"," ","17,725","4","-","-","202301","31","","2021","20230301","직거래","-"
"62","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","39.24"," ","20,725","4","-","-","202301","31","","2021","20230301","직거래","-"
"63","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","39.24"," ","20,725","4","-","-","202301","31","","2021","-","직거래","-"
"64","경기도 양평군 양서면 복포리","집합","4**","복개길5번길","계획관리","제2종근린생활","8m미만","32.55"," ","18,000","4","-","-","202301","31","","2021","20230224","직거래","-"
"65","광주광역시 서구 쌍촌동","집합","5**","화정로49번길","제1종일반주거","제1종근린생활","12m미만","76.36"," ","9,900","1","-","-","202301","31","","2006","-","직거래","-"
"66","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","105.12"," ","15,700","1","-","-","202301","31","지분","2009","-","직거래","-"
"67","경상남도 하동군 화개면 운수리","집합","3**","쌍계로","계획관리","숙박","12m미만","80.19"," ","1,500","20","-","-","202301","31","지분","2015","-","직거래","-"
"68","강원특별자치도 속초시 영랑동","집합","1**","영랑해안8길","일반상업","숙박","8m미만","22.92"," ","12,150","9","-","-","202301","31","","2021","-","직거래","-"
"69","서울특별시 강남구 역삼동","집합","7**","역삼로","제3종일반주거","제1종근린생활","25m미만","392.23"," ","139,800","","-","-","202301","31","","1999","-","직거래","-"
"70","강원특별자치도 속초시 영랑동","집합","1**","영랑해안8길","일반상업","숙박","8m미만","22.92"," ","12,440","12","-","-","202301","31","","2021","-","직거래","-"
"71","서울특별시 강남구 역삼동","집합","7**","역삼로","제3종일반주거","제2종근린생활","25m미만","358.51"," ","127,600","","-","-","202301","31","","1999","-","직거래","-"
"72","강원특별자치도 동해시 삼화동","일반","8**","삼화로","계획관리","제1종근린생활","12m미만","201.84","220.00","41,000","","-","-","202301","31","","1989","-","직거래","-"
"73","서울특별시 강남구 역삼동","집합","7**","역삼로","제3종일반주거","제1종근린생활","25m미만","20.59"," ","7,200","","-","-","202301","31","","1999","-","직거래","-"
"74","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","123.46"," ","16,000","11","-","-","202301","31","지분","2009","-","직거래","-"
"75","서울특별시 강남구 역삼동","집합","7**","역삼로","제3종일반주거","제2종근린생활","25m미만","3.66"," ","600","","-","-","202301","31","","1999","-","직거래","-"
"76","경상남도 창원시 의창구 북면 감계리","집합","5*","동전로110번길","계획관리","제2종근린생활","25m미만","165.77"," ","240,000","1","-","-","202301","31","","2018","20230214","중개거래","경남 창원진해구"
"77","인천광역시 미추홀구 주안동","일반","1***","인하로","제2종일반주거","제2종근린생활","25m이상","425.45","329.60","170,000","","-","-","202301","31","","2021","-","중개거래","인천 계양구"
"78","제주특별자치도 제주시 한림읍 협재리","집합","2***","금능남로","자연녹지","숙박","25m이상","164.91"," ","109,000","4","-","-","202301","31","","2011","-","중개거래","제주 제주시"
"79","충청북도 청주시 서원구 현도면 죽전리","일반","1*","죽전3길","계획관리","제2종근린생활","8m미만","465.65","2278.00","120,000","","-","-","202301","31","","2010","-","중개거래","대전 유성구"
"80","강원특별자치도 홍천군 서면 팔봉리","집합","1***","","계획관리","숙박","12m미만","59.50"," ","3,365","2","-","-","202301","31","지분","2004","-","직거래","-"
"81","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","94.25"," ","32,050","3","-","-","202301","31","","2015","-","직거래","-"
"82","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","140.66"," ","47,060","3","-","-","202301","31","","2015","-","직거래","-"
"83","경기도 성남시 수정구 사송동","일반","6**","탄천로339번길","개발제한구역","제2종근린생활","8m미만","231.14","165.00","109,842","","-","-","202301","31","지분","","-","직거래","-"
"84","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","업무","25m미만","100.00"," ","25,780","5","-","-","202301","31","","2015","-","직거래","-"
"85","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","100.00"," ","31,260","3","-","-","202301","31","","2015","-","직거래","-"
"86","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","170.24"," ","50,430","4","-","-","202301","31","","2015","-","직거래","-"
"87","전라남도 진도군 의신면 돈지리","일반","2**","돈지1길","제2종일반주거","제2종근린생활","12m미만","93.68","240.20","7,000","","-","-","202301","31","","2001","-","직거래","-"
"88","경상남도 남해군 남면 덕월리","집합","2**","","계획관리","숙박","12m미만","70.76"," ","7,600","11","-","-","202301","31","지분","2007","-","직거래","-"
"89","부산광역시 기장군 기장읍 시랑리","집합","7**","기장해안로","제3종일반주거","숙박","25m미만","211.68"," ","16,500","","-","-","202301","31","지분","","-","직거래","-"
"90","서울특별시 동작구 사당동","집합","4*","동작대로35길","제2종일반주거","제1종근린생활","8m미만","55.94"," ","39,750","","-","-","202301","31","","2021","-","직거래","-"
"91","대구광역시 달서구 상인동","일반","1***","월배로40길","제1종일반주거","제2종근린생활","12m미만","100.41","25.85","3,500","","-","-","202301","31","지분","","-","중개거래","대구 중구"
"92","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","88.16"," ","29,500","3","-","-","202301","31","","2015","-","직거래","-"
"93","경상남도 남해군 남면 덕월리","집합","2**","","계획관리","숙박","12m미만","70.76"," ","7,600","11","-","-","202301","31","지분","2007","-","직거래","-"
"94","인천광역시 미추홀구 주안동","집합","1***","경인로","일반상업","제1종근린생활","25m이상","61.41"," ","25,000","5","-","-","202301","31","","2022","-","직거래","-"
"95","경상남도 남해군 남면 덕월리","집합","2**","","계획관리","숙박","12m미만","70.76"," ","7,600","11","-","-","202301","31","지분","2007","-","직거래","-"
"96","경기도 성남시 분당구 정자동","집합","2**","불정로","제2종일반주거","기타","12m미만","41.61"," ","26,000","","-","-","202301","31","","2005","-","직거래","-"
"97","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","172.60"," ","59,650","3","-","-","202301","31","","2015","-","직거래","-"
"98","인천광역시 미추홀구 주안동","집합","1***","경인로","일반상업","제2종근린생활","25m이상","104.72"," ","57,000","8","-","-","202301","31","","2022","-","직거래","-"
"99","경상남도 김해시 주촌면 선지리","집합","1***","선지로","제3종일반주거","제2종근린생활","25m미만","36.90"," ","39,700","1","-","-","202301","31","","2018","-","중개거래","경남 김해시"
"100","인천광역시 남동구 간석동","집합","2**","경인로","일반상업","제2종근린생활","25m이상","48.32"," ","10,000","1","-","-","202301","31","","2007","-","중개거래","인천 남동구"
"101","부산광역시 해운대구 우동","집합","1***","해운대해변로","제3종일반주거","제1종근린생활","25m이상","9.02"," ","22,500","","-","-","202301","31","","1992","-","중개거래","부산 부산진구"
"102","인천광역시 남동구 논현동","집합","5**","청능대로715번길","제3종일반주거","제2종근린생활","25m이상","31.50"," ","10,400","","-","-","202301","31","","2006","-","중개거래","인천 남동구"
"103","대구광역시 북구 침산동","집합","4**","침산남로","제3종일반주거","기타","25m이상","549.05"," ","8,000","8","-","-","202301","31","지분","2008","-","직거래","-"
"104","경기도 성남시 분당구 정자동","집합","2**","불정로","제2종일반주거","기타","12m미만","61.43"," ","44,000","","-","-","202301","31","","2005","-","직거래","-"
"105","대구광역시 북구 침산동","집합","4**","침산남로","제3종일반주거","기타","25m이상","549.05"," ","8,000","7","-","-","202301","31","지분","2008","-","직거래","-"
"106","경기도 성남시 분당구 정자동","집합","*","정자일로","중심상업","업무","25m이상","91.79"," ","73,000","","-","-","202301","31","","2004","-","중개거래","경기 성남분당구"
"107","전라남도 보성군 보성읍 보성리","일반","8**","신일길","일반상업","제1종근린생활","8m미만","60.00","131.00","12,600","","-","-","202301","31","","1994","-","직거래","-"
"108","경기도 성남시 분당구 정자동","집합","*","정자일로","중심상업","업무","25m이상","99.69"," ","79,500","","-","-","202301","31","","2004","-","중개거래","경기 성남분당구"
"109","대구광역시 달서구 본리동","일반","3**","와룡로17길","중심상업","숙박","12m미만","1880.85","378.20","600,000","","-","-","202301","31","","1995","-","직거래","-"
"110","부산광역시 해운대구 우동","집합","1***","해운대해변로","제3종일반주거","제1종근린생활","25m이상","9.02"," ","22,500","","-","-","202301","31","","1992","-","중개거래","부산 부산진구"
"111","부산광역시 해운대구 우동","집합","1***","센텀동로","중심상업","판매","25m이상","983.32"," ","530,000","1","-","-","202301","31","","2009","20230203","중개거래","부산 해운대구"
"112","제주특별자치도 제주시 애월읍 하귀2리","일반","1***","일주서로","자연녹지","제1종근린생활","25m이상","1251.41","2076.00","314,800","","-","-","202301","31","","2016","-","중개거래","제주 제주시"
"113","부산광역시 금정구 서동","일반","2**","개좌로","일반상업","숙박","25m미만","1486.59","231.40","143,000","","-","-","202301","31","","2008","20230406","중개거래","부산 부산진구"
"114","경상북도 울진군 울진읍 읍내리","집합","2*","공세항길","제2종일반주거","제2종근린생활","12m미만","65.70"," ","7,000","","-","-","202301","31","","1995","-","직거래","-"
"115","대구광역시 북구 침산동","집합","4**","침산남로","제3종일반주거","기타","25m이상","549.05"," ","8,160","6","-","-","202301","31","지분","2008","-","직거래","-"
"116","경상북도 칠곡군 동명면 남원리","일반","9**","","생산관리","제2종근린생활","8m미만","122.04","370.00","11,500","","-","-","202301","31","","","-","직거래","-"
"117","경상북도 포항시 남구 상도동","일반","6**","중섬로","일반상업","제2종근린생활","25m미만","668.30","367.10","79,000","","-","-","202301","31","","1995","-","중개거래","경북 포항남구"
"118","서울특별시 영등포구 신길동","집합","1***","여의대방로53가길","제2종일반주거","제2종근린생활","12m미만","25.88"," ","14,200","3","-","-","202301","31","","2019","-","직거래","-"
"119","대구광역시 북구 침산동","집합","4**","침산남로","제3종일반주거","기타","25m이상","129.90"," ","3,120","4","-","-","202301","31","지분","2008","-","직거래","-"
"120","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","170.24"," ","58,830","3","-","-","202301","31","","2015","-","직거래","-"
"121","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제1종근린생활","25m미만","81.25"," ","20,940","6","-","-","202301","31","","2015","-","직거래","-"
"122","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","업무","25m미만","172.60"," ","51,120","5","-","-","202301","31","","2015","-","직거래","-"
"123","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","117.73"," ","39,390","3","-","-","202301","31","","2015","-","직거래","-"
"124","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","업무","25m미만","88.16"," ","24,660","5","-","-","202301","31","","2015","-","직거래","-"
"125","강원특별자치도 원주시 반곡동","집합","1***","건강로","일반상업","제2종근린생활","25m미만","81.25"," ","25,400","3","-","-","202301","31","","2015","-","직거래","-"
"126","경기도 성남시 분당구 정자동","집합","*","정자일로","중심상업","업무","25m이상","57.83"," ","46,000","","-","-","202301","31","","2004","-","중개거래","경기 성남분당구"
"127","경기도 성남시 분당구 정자동","집합","*","정자일로","중심상업","업무","25m이상","114.99"," ","91,500","","-","-","202301","31","","2004","-","중개거래","경기 성남분당구"
"128","경기도 화성시 향남읍 평리","일반","8*","평2길","일반상업","제1종근린생활","12m미만","71.21","101.00","37,500","","-","-","202301","31","","1998","-","중개거래","경기 화성시"
"129","대전광역시 서구 관저동","집합","1***","구봉로","준주거","제2종근린생활","25m이상","143.52"," ","37,000","5","-","-","202301","31","","2015","20230331","중개거래","대전 서구"
"130","대전광역시 서구 관저동","집합","1***","구봉로","준주거","제2종근린생활","25m이상","143.52"," ","37,000","5","-","-","202301","31","","2015","-","중개거래","대전 서구"
"131","대전광역시 서구 관저동","집합","1***","구봉로","준주거","제1종근린생활","25m이상","123.12"," ","38,000","5","-","-","202301","31","","2016","-","직거래","-"
"132","인천광역시 부평구 부평동","일반","4**","주부토로","일반상업","제2종근린생활","25m미만","450.66","241.10","280,000","","-","-","202301","31","","2000","-","중개거래","인천 부평구"
"133","경상북도 칠곡군 동명면 남원리","일반","9**","남원로","생산관리","제1종근린생활","8m미만","384.92","766.00","31,000","","-","-","202301","31","","","-","직거래","-"
"134","전라남도 고흥군 도양읍 봉암리","일반","1***","대봉문화의길","자연녹지","제2종근린생활","8m미만","132.00","16534.00","28,200","","-","-","202301","31","","1984","-","직거래","-"
"135","전라남도 광양시 옥곡면 신금리","일반","4**","신금로","제1종일반주거","제2종근린생활","25m미만","77.00","1320.00","40,000","","-","-","202301","31","","1991","-","직거래","-"
"136","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","16,900","11","-","-","202301","31","","2019","-","직거래","-"
"137","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","16,500","10","-","-","202301","31","","2019","-","직거래","-"
"138","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","15,500","10","-","-","202301","31","","2019","-","직거래","-"
"139","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","16,500","10","-","-","202301","31","","2019","-","직거래","-"
"140","서울특별시 금천구 시흥동","집합","9**","시흥대로41길","준공업","제1종근린생활","8m미만","33.09"," ","12,500","1","-","-","202301","31","","1978","-","직거래","-"
"141","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","16,900","11","-","-","202301","31","","2019","-","직거래","-"
"142","대전광역시 유성구 봉명동","집합","5**","계룡로","일반상업","숙박","25m이상","26.53"," ","15,500","9","-","-","202301","31","","2019","-","직거래","-"
"143","전라남도 여수시 돌산읍 우두리","집합","1***","","준주거","숙박","25m이상","37.77"," ","22,500","4","-","-","202301","31","","2018","-","직거래","-"
"144","서울특별시 금천구 시흥동","집합","8**","시흥대로56길","제3종일반주거","제2종근린생활","12m미만","35.92"," ","18,900","3","-","-","202301","31","","2018","-","중개거래","서울 금천구"
"145","강원특별자치도 인제군 남면 남전리","일반","6**","설악로","계획관리","제1종근린생활","12m미만","397.05","638.00","22,392","","-","-","202301","31","","1995","-","직거래","-"
"146","전라남도 여수시 돌산읍 우두리","집합","1***","","준주거","숙박","25m이상","37.77"," ","23,500","14","-","-","202301","31","","2018","-","직거래","-"
"147","강원특별자치도 고성군 토성면 신평리","일반","4**","","계획관리","숙박","12m미만","84.99","38.02","600","","-","-","202301","31","지분","1989","-","직거래","-"
"148","강원특별자치도 고성군 토성면 신평리","집합","7**","","계획관리","숙박","12m미만","90.45"," ","2,070","23","-","-","202301","31","지분","2019","-","직거래","-"
"149","충청남도 예산군 덕산면 사동리","집합","3**","","계획관리","숙박","12m미만","53.23"," ","4,100","22","-","-","202301","31","지분","","-","직거래","-"
"150","충청남도 예산군 덕산면 사동리","집합","3**","","계획관리","숙박","12m미만","53.23"," ","4,100","","-","-","202301","31","지분","","-","직거래","-"
